action_correct,actual_action,actual_db_id,answer,audio_reachable,audio_url,audio_url_present,automatic_pass,case_id,character_f_score,confidence,contains_forbidden_term,db_match_correct,detected_name,end_to_end_correct,error,expected_action,expected_db_id,expected_type,feature,human_adequacy,human_factuality,human_fluency,human_groundedness,human_intelligibility,human_mos,human_name_judgment,human_pending,human_relevance,human_summary_usefulness,latency_ms,name_correct,name_similarity,numbers_preserved,predicted_type,required_fact_coverage,schema_valid,status_code,success,token_f1,translation,type_correct
,,,,,,,,search-food-01,,,,False,,False,"You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash
Please retry in 4.712490085s.",,2965b48d-a399-47f6-b16b-1332c4f0ec06,food,ai_search,,,,,,,,False,,,539.532,True,0.0,,,,False,429,False,,,False
,,,,,,,,search-food-02,,,,False,,False,"You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash
Please retry in 4.170380249s.",,1d36de99-7a98-4a36-8ef1-a6ff59cd857f,food,ai_search,,,,,,,,False,,,412.092,True,0.0,,,,False,429,False,,,False
,,,,,,,,search-food-03,,,,False,,False,"You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash
Please retry in 3.505141901s.",,c9cdf9ec-7bf3-460f-b25d-833538a024ec,food,ai_search,,,,,,,,False,,,482.062,True,0.0,,,,False,429,False,,,False
,,,,,,,,search-food-04,,,,False,,False,"You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. 
* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 20, model: gemini-2.5-flash
Please retry in 2.95740896s.",,0b491d77-468c-4c66-ad4f-53c04a887922,food,ai_search,,,,,,,,False,,,384.06,True,0.0,,,,False,429,False,,,False
,,,,,,,,search-food-05,,,,False,,False,EvaluationHttpError,,fb4817d5-46f1-41dd-b48b-3a60a872ea71,food,ai_search,,,,,,,,False,,,,True,0.0,,,,False,,False,,,False
,,,,,,,,search-food-06,,,,False,,False,EvaluationHttpError,,288051c2-b625-438f-9eca-b7c6c19a656b,food,ai_search,,,,,,,,False,,,,True,0.0,,,,False,,False,,,False
,,,,,,,,search-food-07,,,,False,,False,EvaluationHttpError,,2c9996b1-c777-4036-8263-5e07d7d3eef8,food,ai_search,,,,,,,,False,,,,True,0.0,,,,False,,False,,,False
,,,,,,,,search-food-08,,,,False,,False,EvaluationHttpError,,22705416-bc48-42e4-a8db-4d9324a46dbd,food,ai_search,,,,,,,,False,,,,True,0.0,,,,False,,False,,,False
,,,,,,,,search-food-09,,,,False,,False,EvaluationHttpError,,ea021ac2-0a79-4dda-b854-d2ffbbe7a71d,food,ai_search,,,,,,,,False,,,,True,0.0,,,,False,,False,,,False
,,,,,,,,search-food-10,,,,False,,False,EvaluationHttpError,,3de2281e-dd99-4fb7-b41a-591100b5c33d,food,ai_search,,,,,,,,False,,,,True,0.0,,,,False,,False,,,False
