action_correct,actual_action,actual_db_id,answer,audio_reachable,audio_url,audio_url_present,automatic_pass,case_id,character_f_score,confidence,contains_forbidden_term,db_match_correct,detected_name,end_to_end_correct,error,expected_action,expected_db_id,expected_type,feature,human_adequacy,human_factuality,human_fluency,human_groundedness,human_intelligibility,human_mos,human_name_judgment,human_pending,human_relevance,human_summary_usefulness,latency_ms,name_correct,name_similarity,numbers_preserved,predicted_type,required_fact_coverage,schema_valid,status_code,success,token_f1,translation,type_correct
,,,,,,,,search-food-01,,0.95,,False,Banh Chung and Banh Tet,False,,,2965b48d-a399-47f6-b16b-1332c4f0ec06,food,ai_search,,,,,,,,True,,,10191.214,False,0.25,,food,,True,200,True,,,True
,,1d36de99-7a98-4a36-8ef1-a6ff59cd857f,,,,,,search-food-02,,0.98,,True,Bánh Bao,True,,,1d36de99-7a98-4a36-8ef1-a6ff59cd857f,food,ai_search,,,,,,,,True,,,7142.802,True,1.0,,food,,True,200,True,,,True
,,c9cdf9ec-7bf3-460f-b25d-833538a024ec,,,,,,search-food-03,,0.98,,True,Bánh Bèo,True,,,c9cdf9ec-7bf3-460f-b25d-833538a024ec,food,ai_search,,,,,,,,True,,,7017.617,True,1.0,,food,,True,200,True,,,True
,,715cef95-4eab-4af3-849a-e4325f3b1a14,,,,,,search-food-04,,0.98,,False,Banh Da Lon,False,,,0b491d77-468c-4c66-ad4f-53c04a887922,food,ai_search,,,,,,,,True,,,7604.438,False,0.4,,food,,True,200,True,,,True
,,45094983-0fbb-4cb8-9bb3-59d06aed5d2b,,,,,,search-food-05,,0.95,,False,Bánh Nậm,False,,,fb4817d5-46f1-41dd-b48b-3a60a872ea71,food,ai_search,,,,,,,,True,,,7651.595,False,0.4,,food,,True,200,True,,,True
,,c9cdf9ec-7bf3-460f-b25d-833538a024ec,,,,,,search-food-06,,0.95,,False,Banh Beo,False,,,288051c2-b625-438f-9eca-b7c6c19a656b,food,ai_search,,,,,,,,True,,,7739.9,False,0.5,,food,,True,200,True,,,True
,,fb10736d-855c-490f-b663-103f0dc01e55,,,,,,search-food-07,,0.9,,False,Bún Cá,False,,,2c9996b1-c777-4036-8263-5e07d7d3eef8,food,ai_search,,,,,,,,True,,,12963.89,False,0.0,,food,,True,200,True,,,True
,,22705416-bc48-42e4-a8db-4d9324a46dbd,,,,,,search-food-08,,0.98,,True,Bánh Chưng,True,,,22705416-bc48-42e4-a8db-4d9324a46dbd,food,ai_search,,,,,,,,True,,,6256.663,True,1.0,,food,,True,200,True,,,True
,,288051c2-b625-438f-9eca-b7c6c19a656b,,,,,,search-food-09,,0.9,,False,Banh Can,False,,,ea021ac2-0a79-4dda-b854-d2ffbbe7a71d,food,ai_search,,,,,,,,True,,,15741.395,False,0.5,,food,,True,200,True,,,True
,,715cef95-4eab-4af3-849a-e4325f3b1a14,,,,,,search-food-10,,0.98,,False,Bánh Da Lợn,False,,,3de2281e-dd99-4fb7-b41a-591100b5c33d,food,ai_search,,,,,,,,True,,,8005.161,False,0.4,,food,,True,200,True,,,True
,,eb6c4e3f-bbab-46e2-93bb-c9e90215dfa4,,,,,,search-food-11,,0.95,,False,Bánh Khọt,False,,,fd474901-6c61-4b72-bed9-d8d3b43349d9,food,ai_search,,,,,,,,True,,,7054.224,False,0.5,,food,,True,200,True,,,True
